1524,1524,0
312,1837,1524
899,2424,1524
2424,2424,0
1227,2752,1524
436,3189,2752
501,3253,2752
829,3253,2424
1729,3253,2424
1867,3392,1524
1555,3392,1837
968,3392,2424
694,3446,2752
1022,3446,2424
1922,3446,1524
2130,3654,1524
3654,3654,0
507,3954,3446
700,3954,3253
1201,3954,2752
1247,3999,2752
1575,3999,2424
2474,3999,1524
600,4047,3446
1294,4047,2752
1622,4047,2424
2522,4047,1524
910,4099,3189
1347,4099,2752
670,4117,3446
2592,4117,1524
1604,4354,2752
1100,4354,3253
907,4354,3446
975,4420,3446
1191,4443,3253
1691,4443,2752
2020,4443,2424
1752,4505,2752
3165,4690,1524
2265,4690,2424
1243,4690,3446
1965,4717,2752
1525,4717,3189
1463,4717,3253
1313,4759,3446
2335,4759,2424
2922,4759,1837
3235,4759,1524
4759,4759,0
4865,4866,0
3341,4866,1524
2442,4866,2424
797,4897,4099
2522,4946,2424
3446,4971,1524
2546,4971,2424
1717,4971,3253
3493,5017,1524
1763,5017,3253
3633,5158,1524
2733,5158,2424
3655,5179,1524
2438,5188,2752
1141,5188,4047
768,5188,4420
3682,5204,1524
1959,5212,3253
1213,5212,3999
1367,5323,3954
2126,5380,3253
2190,5380,3189
2627,5380,2752
1339,5439,4099
1992,5439,3446
2687,5439,2752
3947,5472,1524
2719,5472,2752
2218,5472,3253
2301,5490,3189
3966,5491,1524
1374,5491,4117
4068,5593,1524
3168,5593,2424
2146,5593,3446
1638,5593,3954
1711,5665,3954
1807,5761,3954
2515,5769,3253
3016,5769,2752
3344,5769,2424
2521,5774,3253
2586,5774,3189
3024,5774,2752
4249,5774,1524
3629,7726,4099
2829,7726,4897
1707,7726,6020
4269,7020,2752
3708,6961,3253
3561,6814,3253
2386,6807,4420
1910,6807,4897
1888,6785,4897
1347,6785,5439
2555,6652,4099
1756,6652,4897
508,6536,6028
3819,6572,2752
3317,6572,3253
3206,6459,3253
1742,6459,4717
1246,6459,5212
2466,6420,3954
930,6420,5490
3496,6247,2752
3058,6247,3189
2994,6247,3253
3459,6212,2752
2958,6212,3253
2203,6159,3954
1800,6159,4354
2859,6111,3253
3275,6028,2752
2071,6028,3954
1669,6028,4354
3268,6020,2752
2830,6020,3189
3251,6003,2752
2750,6003,3253
2557,6003,3446
1954,6003,4047
1904,6003,4099
3171,5924,2752
1969,5924,3954
1824,5924,4099
3103,5854,2752
9954,11480,1524
8727,11480,2752
8225,11480,3253
8033,11480,3446
7822,11480,3654
7525,11480,3954
7480,11480,3999
7433,11480,4047
7380,11480,4099
7363,11480,4117
7124,11480,4354
7034,11480,4443
6975,11480,4505
6790,11480,4690
6720,11480,4759
6614,11480,4866
6533,11480,4946
6509,11480,4971
6462,11480,5017
6321,11480,5158
6290,11480,5188
6275,11480,5204
6100,11480,5380
6040,11480,5439
6008,11480,5472
5988,11480,5491
5888,11480,5593
5815,11480,5665
5710,11480,5769
5706,11480,5774
5625,11480,5854
5554,11480,5924
5477,11480,6003
5461,11480,6020
5454,11480,6028
5368,11480,6111
5321,11480,6159
5270,11480,6212
5233,11480,6247
5060,11480,6420
5021,11480,6459
4908,11480,6572
4827,11480,6652
4695,11480,6785
4671,11480,6807
4666,11480,6814
4520,11480,6961
4460,11480,7020
3754,11480,7726
